"id","created","gyro_x","gyro_y","gyro_z"
"260","2017-11-20T16:34:32.648245Z","-0.095703","-0.796875","0.5"
"261","2017-11-20T16:34:33.299399Z","-0.274414","-0.46875","0.348633"
"262","2017-11-20T16:34:33.925862Z","-0.527344","-0.033203","0.143555"
"263","2017-11-20T16:34:34.538890Z","-0.374023","-0.633789","0.076172"
"264","2017-11-20T16:34:35.201604Z","-0.429688","-0.686523","0.037109"
"265","2017-11-20T16:34:35.903755Z","-0.475586","-0.542969","0.049805"
"266","2017-11-20T16:34:36.437154Z","-0.392578","-0.438477","0.108398"
"267","2017-11-20T16:34:37.077729Z","-0.904297","-0.283203","-0.130859"
"268","2017-11-20T16:34:37.709628Z","-0.97168","0.119141","-0.227539"
"269","2017-11-20T16:34:38.365783Z","-0.710938","-0.15625","-0.18457"
"270","2017-11-20T16:34:38.982373Z","-0.803711","-0.270508","-0.203125"
"271","2017-11-20T16:34:39.603840Z","-0.758789","-0.310547","-0.129883"
"272","2017-11-20T16:34:40.249507Z","-0.771484","-0.525391","-0.112305"
"273","2017-11-20T16:34:40.923921Z","-0.873047","-0.460938","-0.175781"
"274","2017-11-20T16:34:41.504604Z","-0.546875","-0.750977","0.000977"
"275","2017-11-20T16:34:42.129207Z","0.144531","-0.885742","0.398438"
"276","2017-11-20T16:34:42.785501Z","0.484375","-0.512695","0.697266"
"277","2017-11-20T16:34:43.405476Z","0.375977","-0.133789","0.863281"
"278","2017-11-20T16:34:44.042526Z","0.120117","-0.007812","0.979492"
"279","2017-11-20T16:34:44.677509Z","-0.00293","-0.011719","1.001953"
"280","2017-11-20T16:34:45.283338Z","-0.004883","-0.015625","1.003906"
"281","2017-11-20T16:34:45.939677Z","-0.000977","-0.010742","1.003906"
